product_id,title,description,category,brand,price,size,color,rating
P0017,Titan Glasses Product 17,"This product from Titan is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Glasses,Titan,1447,Large,Yellow,4.5
P0018,RayBan Glasses Product 18,"This product from RayBan is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Glasses,RayBan,4769,Medium,Yellow,4.8
P0019,American Tourister Accessories Product 19,"American Tourister delivers a well-crafted accessory that fits seamlessly into daily use. It is lightweight, durable, and designed with attention to detail.",Accessories,American Tourister,2523,Medium,White,3.7
P0020,Adidas Sportswear Product 20,"This product from Adidas is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Sportswear,Adidas,3646,M,Brown,4.1
P0021,Fossil Watches Product 21,"Fossil watches are known for reliability, and this model is no exception. With a clean design and comfortable fit, it’s ideal for long hours of use.",Watches,Fossil,4315,Medium,Red,4.1
P0022,Reebok Shoes Product 22,"This product from Reebok is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Shoes,Reebok,1583,11,Brown,4.9
P0023,Samsung Electronics Product 23,"This product from Samsung is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Electronics,Samsung,4181,Small,Black,4.1
P0024,Nike Sportswear Product 24,"This product from Nike is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Sportswear,Nike,8170,S,Blue,4.5
P0025,Campus Footwear Product 25,Campus brings you footwear that combines rugged build quality with modern design. The black color and ergonomic fit make it a dependable choice for everyday use.,Footwear,Campus,8199,9,Black,4.1
P0026,Woodland Footwear Product 26,"This pair of footwear from Woodland is built for daily use and long walks. It provides reliable grip, breathable comfort, and a premium feel that justifies its price point of ₹2563.",Footwear,Woodland,2563,6,White,3.5
P0027,Sony Electronics Product 27,"This product from Sony is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Electronics,Sony,1152,Small,Yellow,3.8
P0028,Woodland Footwear Product 28,"Designed by Woodland, this footwear offers a perfect balance of comfort and durability. The yellow finish gives it a stylish look, while the fit in size 9 makes it suitable for all-day wear.",Footwear,Woodland,5284,9,Yellow,4.9
P0029,HRX Sportswear Product 29,"This product from HRX is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Sportswear,HRX,4523,S,Yellow,4.2
P0030,Adidas Sportswear Product 30,"This product from Adidas is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Sportswear,Adidas,6647,XL,Red,4.1
P0031,Nike Sportswear Product 31,"This product from Nike is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Sportswear,Nike,2982,S,White,3.3
P0032,JBL Electronics Product 32,"This product from JBL is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Electronics,JBL,7728,Small,Brown,4.3
P0033,American Tourister Accessories Product 33,This accessory by American Tourister is designed to be both functional and stylish. The red finish and small size make it easy to pair with different outfits.,Accessories,American Tourister,3614,Small,Red,4.4
P0034,RedTape Footwear Product 34,"Designed by RedTape, this footwear offers a perfect balance of comfort and durability. The green finish gives it a stylish look, while the fit in size 6 makes it suitable for all-day wear.",Footwear,StrideX,2535,6,Green,3.8
P0035,Puma Sportswear Product 35,"This product from Puma is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Sportswear,Puma,7336,M,Black,4.5
P0036,American Tourister Accessories Product 36,This accessory by American Tourister is designed to be both functional and stylish. The red finish and large size make it easy to pair with different outfits.,Accessories,American Tourister,3288,Large,Red,3.3
P0037,Titan Glasses Product 37,"This product from Titan is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Glasses,Titan,2947,Medium,Grey,3.5
P0038,JBL Electronics Product 38,"This product from JBL is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Electronics,JBL,4179,Medium,Green,4.2
P0039,Lenskart Glasses Product 39,"This product from Lenskart is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Glasses,Lenskart,4020,Small,White,3.2
P0040,Lenskart Glasses Product 40,"This product from Lenskart is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Glasses,Lenskart,6089,Large,Yellow,4.9
P0041,JBL Electronics Product 41,"This product from JBL is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Electronics,JBL,2242,Medium,Blue,4.3
P0042,American Tourister Accessories Product 42,This accessory by American Tourister is designed to be both functional and stylish. The yellow finish and large size make it easy to pair with different outfits.,Accessories,American Tourister,6465,Large,Yellow,3
P0043,Casio Watches Product 43,"Crafted by Casio, this watch offers accurate timekeeping and a refined look. Designed for daily wear, it adds a subtle touch of elegance without being over-the-top.",Watches,Casio,6688,Large,Grey,4.2
P0044,American Tourister Accessories Product 44,"American Tourister delivers a well-crafted accessory that fits seamlessly into daily use. It is lightweight, durable, and designed with attention to detail.",Accessories,American Tourister,8747,Small,White,3.1
P0045,Reebok Shoes Product 45,"This product from Reebok is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Shoes,Reebok,8675,10,Green,3.8
P0046,Lenskart Glasses Product 46,"This product from Lenskart is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Glasses,Lenskart,8509,Medium,Brown,4.1
P0047,Woodland Footwear Product 47,"This pair of footwear from Woodland is built for daily use and long walks. It provides reliable grip, breathable comfort, and a premium feel that justifies its price point of ₹1591.",Footwear,Woodland,1591,8,Blue,4.9
P0048,American Tourister Accessories Product 48,This accessory by American Tourister is designed to be both functional and stylish. The yellow finish and medium size make it easy to pair with different outfits.,Accessories,American Tourister,6259,Medium,Yellow,4.9
P0049,Casio Watches Product 49,"Crafted by Casio, this watch offers accurate timekeeping and a refined look. Designed for daily wear, it adds a subtle touch of elegance without being over-the-top.",Watches,Casio,7353,Large,Black,3.9
P0050,Boat Electronics Product 50,"This product from Boat is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Electronics,Boat,3736,Medium,Yellow,3.6
P0051,RayBan Glasses Product 51,"This product from RayBan is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Glasses,RayBan,8669,Medium,Blue,4.5
P0052,Skybags Accessories Product 52,This accessory by Skybags is designed to be both functional and stylish. The brown finish and medium size make it easy to pair with different outfits.,Accessories,Skybags,3331,Medium,Brown,3.6
P0053,JBL Electronics Product 53,"This product from JBL is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Electronics,JBL,5602,Large,White,4.1
P0054,JBL Electronics Product 54,"This product from JBL is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Electronics,JBL,7376,Medium,Blue,3.7
P0055,Woodland Footwear Product 55,"This pair of footwear from Woodland is built for daily use and long walks. It provides reliable grip, breathable comfort, and a premium feel that justifies its price point of ₹3995.",Footwear,Woodland,3995,11,Blue,3.8
P0056,Campus Footwear Product 56,"This pair of footwear from Campus is built for daily use and long walks. It provides reliable grip, breathable comfort, and a premium feel that justifies its price point of ₹3111.",Footwear,Campus,3111,9,Yellow,4.3
P0057,Adidas Shoes Product 57,"This product from Adidas is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Shoes,Adidas,4408,11,Yellow,3.2
P0058,HRX Sportswear Product 58,"This product from HRX is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Sportswear,HRX,3301,XL,Brown,3.1
P0059,HRX Sportswear Product 59,"This product from HRX is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Sportswear,HRX,2240,L,White,4.5
P0060,Samsung Electronics Product 60,"This product from Samsung is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Electronics,Samsung,8665,Medium,Green,4.6
P0061,Samsung Electronics Product 61,"This product from Samsung is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Electronics,Samsung,2287,Large,Black,3.4
P0062,Fossil Watches Product 62,"Crafted by Fossil, this watch offers accurate timekeeping and a refined look. Designed for daily wear, it adds a subtle touch of elegance without being over-the-top.",Watches,Fossil,1461,Large,White,3.7
P0063,Casio Watches Product 63,This watch from Casio blends classic design with everyday practicality. Its white dial and comfortable medium fit make it suitable for both casual and formal wear.,Watches,Casio,7881,Medium,White,4.7
P0064,Apple Watches Product 64,"Apple watches are known for reliability, and this model is no exception. With a clean design and comfortable fit, it’s ideal for long hours of use.",Watches,Apple,3658,Small,Grey,4.8
P0065,Nike Sportswear Product 65,"This product from Nike is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Sportswear,Nike,1441,L,White,4
P0066,Adidas Shoes Product 66,"This product from Adidas is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Shoes,Adidas,4511,11,White,3.4
P0067,Adidas Shoes Product 67,"This product from Adidas is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Shoes,Adidas,1573,7,Red,3.9
P0068,Casio Watches Product 68,"Crafted by Casio, this watch offers accurate timekeeping and a refined look. Designed for daily wear, it adds a subtle touch of elegance without being over-the-top.",Watches,Casio,1689,Large,Green,4.1
P0069,Boat Electronics Product 69,"This product from Boat is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Electronics,Boat,8242,Small,Blue,3.9
P0070,Wildcraft Accessories Product 70,"Wildcraft delivers a well-crafted accessory that fits seamlessly into daily use. It is lightweight, durable, and designed with attention to detail.",Accessories,Wildcraft,6867,Medium,Brown,3
P0071,Bata Footwear Product 71,Bata brings you footwear that combines rugged build quality with modern design. The green color and ergonomic fit make it a dependable choice for everyday use.,Footwear,Bata,1404,7,Green,3.6
P0072,Titan Watches Product 72,"Titan watches are known for reliability, and this model is no exception. With a clean design and comfortable fit, it’s ideal for long hours of use.",Watches,Titan,8352,Large,White,3
P0073,Casio Watches Product 73,"Crafted by Casio, this watch offers accurate timekeeping and a refined look. Designed for daily wear, it adds a subtle touch of elegance without being over-the-top.",Watches,Casio,6084,Small,Black,4.3
P0074,HRX Sportswear Product 74,"This product from HRX is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Sportswear,HRX,2857,XS,Green,3.5
P0075,JBL Electronics Product 75,"This product from JBL is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Electronics,JBL,1976,Large,Green,4.2
P0076,American Tourister Accessories Product 76,This accessory by American Tourister is designed to be both functional and stylish. The black finish and large size make it easy to pair with different outfits.,Accessories,American Tourister,5589,Large,Black,4.5
P0077,Boat Electronics Product 77,"This product from Boat is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Electronics,Boat,6939,Small,Yellow,4.1
P0078,Bata Footwear Product 78,"This pair of footwear from Bata is built for daily use and long walks. It provides reliable grip, breathable comfort, and a premium feel that justifies its price point of ₹7691.",Footwear,Bata,7691,11,Brown,4.4
P0079,Skybags Accessories Product 79,"Skybags delivers a well-crafted accessory that fits seamlessly into daily use. It is lightweight, durable, and designed with attention to detail.",Accessories,Skybags,6731,Small,Blue,4.7
P0080,Puma Shoes Product 80,"This product from Puma is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Shoes,Puma,2422,6,Black,4.7
P0081,Lenskart Glasses Product 81,"This product from Lenskart is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Glasses,Lenskart,5447,Large,Brown,4.8
P0082,Fossil Watches Product 82,"Fossil watches are known for reliability, and this model is no exception. With a clean design and comfortable fit, it’s ideal for long hours of use.",Watches,Fossil,7333,Small,Green,4.6
P0083,RayBan Glasses Product 83,"This product from RayBan is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Glasses,RayBan,3840,Medium,Grey,3.9
P0084,Sony Electronics Product 84,"This product from Sony is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Electronics,Sony,5800,Medium,Blue,3.3
P0085,Apple Watches Product 85,"Apple watches are known for reliability, and this model is no exception. With a clean design and comfortable fit, it’s ideal for long hours of use.",Watches,Apple,3938,Small,White,4.3
P0086,Fastrack Glasses Product 86,"This product from Fastrack is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Glasses,Fastrack,4129,Small,Yellow,3.6
P0087,HRX Sportswear Product 87,"This product from HRX is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Sportswear,HRX,1986,S,Brown,3.5
P0088,Titan Glasses Product 88,"This product from Titan is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Glasses,Titan,8387,Small,Green,3.9
P0089,American Tourister Accessories Product 89,This accessory by American Tourister is designed to be both functional and stylish. The green finish and large size make it easy to pair with different outfits.,Accessories,American Tourister,8621,Large,Green,3.4
P0090,Sony Electronics Product 90,"This product from Sony is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Electronics,Sony,2884,Small,Green,4.5
P0091,Samsung Electronics Product 91,"This product from Samsung is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Electronics,Samsung,5197,Large,Black,3.7
P0092,American Tourister Accessories Product 92,"Built with everyday practicality in mind, this accessory from American Tourister offers a balanced mix of durability and modern aesthetics.",Accessories,American Tourister,6714,Small,Blue,3.2
P0093,Fossil Watches Product 93,"Crafted by Fossil, this watch offers accurate timekeeping and a refined look. Designed for daily wear, it adds a subtle touch of elegance without being over-the-top.",Watches,Fossil,6535,Small,Yellow,3.8
P0094,JBL Electronics Product 94,"This product from JBL is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Electronics,JBL,6908,Small,Green,3.4
P0095,RayBan Glasses Product 95,"This product from RayBan is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Glasses,RayBan,2557,Medium,Red,4.3
P0096,Titan Watches Product 96,"Crafted by Titan, this watch offers accurate timekeeping and a refined look. Designed for daily wear, it adds a subtle touch of elegance without being over-the-top.",Watches,Titan,1374,Medium,Grey,3.6
P0097,Woodland Footwear Product 97,"Designed by Woodland, this footwear offers a perfect balance of comfort and durability. The red finish gives it a stylish look, while the fit in size 8 makes it suitable for all-day wear.",Footwear,Woodland,8759,8,Red,3.4
P0098,RedTape Footwear Product 98,RedTape brings you footwear that combines rugged build quality with modern design. The green color and ergonomic fit make it a dependable choice for everyday use.,Footwear,StrideX,8455,6,Green,4.8
P0099,Woodland Footwear Product 99,"Designed by Woodland, this footwear offers a perfect balance of comfort and durability. The red finish gives it a stylish look, while the fit in size 11 makes it suitable for all-day wear.",Footwear,Woodland,1019,11,Red,3
P0100,Adidas Sportswear Product 100,"This product from Adidas is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Sportswear,Adidas,7711,S,Grey,3.7
P0101,Apple Watches Product 101,This watch from Apple blends classic design with everyday practicality. Its white dial and comfortable small fit make it suitable for both casual and formal wear.,Watches,Apple,7498,Small,White,3.1
P0102,Lenskart Glasses Product 102,"This product from Lenskart is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Glasses,Lenskart,1735,Medium,White,3.8
P0103,Skybags Accessories Product 103,"Skybags delivers a well-crafted accessory that fits seamlessly into daily use. It is lightweight, durable, and designed with attention to detail.",Accessories,Skybags,5144,Medium,Yellow,3.2
P0104,Samsung Electronics Product 104,"This product from Samsung is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Electronics,Samsung,8711,Medium,Black,3.3
P0105,Reebok Shoes Product 105,"This product from Reebok is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Shoes,Reebok,6754,6,Blue,3.9
P0106,Boat Electronics Product 106,"This product from Boat is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Electronics,Boat,5169,Medium,Black,3.5
P0107,Fossil Watches Product 107,This watch from Fossil blends classic design with everyday practicality. Its red dial and comfortable small fit make it suitable for both casual and formal wear.,Watches,Fossil,5697,Small,Red,4.9
P0108,Puma Sportswear Product 108,"This product from Puma is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Sportswear,Puma,4451,XS,Red,4.1
P0109,Nike Shoes Product 109,"This product from Nike is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Shoes,Nike,7691,9,Brown,3.3
P0110,Boat Electronics Product 110,"This product from Boat is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Electronics,Boat,3113,Small,Red,3.7
P0111,JBL Electronics Product 111,"This product from JBL is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Electronics,JBL,4808,Medium,Green,4.7
P0112,Adidas Sportswear Product 112,"This product from Adidas is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Sportswear,Adidas,5932,S,White,3.8
P0113,Reebok Shoes Product 113,"This product from Reebok is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Shoes,Reebok,6575,7,Brown,3.3
P0114,Campus Footwear Product 114,"This pair of footwear from Campus is built for daily use and long walks. It provides reliable grip, breathable comfort, and a premium feel that justifies its price point of ₹5155.",Footwear,Campus,5155,9,Brown,4.9
P0115,RayBan Glasses Product 115,"This product from RayBan is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Glasses,RayBan,2429,Medium,Blue,4.7
P0116,American Tourister Accessories Product 116,"American Tourister delivers a well-crafted accessory that fits seamlessly into daily use. It is lightweight, durable, and designed with attention to detail.",Accessories,American Tourister,7908,Medium,Grey,3
P0117,Titan Watches Product 117,"Crafted by Titan, this watch offers accurate timekeeping and a refined look. Designed for daily wear, it adds a subtle touch of elegance without being over-the-top.",Watches,Titan,4808,Large,Black,4.2
P0118,HRX Sportswear Product 118,"This product from HRX is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Sportswear,HRX,8234,L,Black,3.3
P0119,Woodland Footwear Product 119,Woodland brings you footwear that combines rugged build quality with modern design. The blue color and ergonomic fit make it a dependable choice for everyday use.,Footwear,Woodland,3201,9,Blue,3.7
P0120,Woodland Footwear Product 120,Woodland brings you footwear that combines rugged build quality with modern design. The grey color and ergonomic fit make it a dependable choice for everyday use.,Footwear,Woodland,3183,10,Grey,3.9
P0121,Skybags Accessories Product 121,"Built with everyday practicality in mind, this accessory from Skybags offers a balanced mix of durability and modern aesthetics.",Accessories,Skybags,4091,Small,Blue,4.1
P0122,Casio Watches Product 122,"Crafted by Casio, this watch offers accurate timekeeping and a refined look. Designed for daily wear, it adds a subtle touch of elegance without being over-the-top.",Watches,Casio,8662,Medium,Yellow,5
P0123,Adidas Sportswear Product 123,"This product from Adidas is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Sportswear,Adidas,8339,L,Grey,3.1
P0124,Bata Footwear Product 124,"This pair of footwear from Bata is built for daily use and long walks. It provides reliable grip, breathable comfort, and a premium feel that justifies its price point of ₹2232.",Footwear,Bata,2232,7,White,4.8
P0125,RayBan Glasses Product 125,"This product from RayBan is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Glasses,RayBan,1254,Small,Grey,3.8
P0126,Skechers Shoes Product 126,"This product from Skechers is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Shoes,Skechers,6554,11,Brown,4.8
P0127,Samsung Electronics Product 127,"This product from Samsung is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Electronics,Samsung,1451,Small,Blue,4.8
P0128,JBL Electronics Product 128,"This product from JBL is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Electronics,JBL,6606,Medium,Red,4
P0129,Adidas Shoes Product 129,"This product from Adidas is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Shoes,Adidas,5052,11,White,4.9
P0130,Puma Shoes Product 130,"This product from Puma is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Shoes,Puma,6877,10,Brown,3
P0131,Sony Electronics Product 131,"This product from Sony is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Electronics,Sony,7224,Small,Black,4.2
P0132,Boat Electronics Product 132,"This product from Boat is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Electronics,Boat,7099,Small,Green,4.1
P0133,Adidas Shoes Product 133,"This product from Adidas is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Shoes,Adidas,2623,6,Blue,3.4
P0134,Skechers Shoes Product 134,"This product from Skechers is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Shoes,Skechers,1798,8,Green,4.7
P0135,Campus Footwear Product 135,"Designed by Campus, this footwear offers a perfect balance of comfort and durability. The grey finish gives it a stylish look, while the fit in size 7 makes it suitable for all-day wear.",Footwear,Campus,3843,7,Grey,3.1
P0136,Bata Footwear Product 136,"This pair of footwear from Bata is built for daily use and long walks. It provides reliable grip, breathable comfort, and a premium feel that justifies its price point of ₹5603.",Footwear,Bata,5603,9,Grey,3.7
P0137,Titan Glasses Product 137,"This product from Titan is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Glasses,Titan,6330,Large,Yellow,4.5
P0138,Casio Watches Product 138,"Crafted by Casio, this watch offers accurate timekeeping and a refined look. Designed for daily wear, it adds a subtle touch of elegance without being over-the-top.",Watches,Casio,5841,Large,Blue,4
P0139,Boat Electronics Product 139,"This product from Boat is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Electronics,Boat,7604,Large,Grey,4
P0140,Apple Watches Product 140,"Crafted by Apple, this watch offers accurate timekeeping and a refined look. Designed for daily wear, it adds a subtle touch of elegance without being over-the-top.",Watches,Apple,3693,Medium,Brown,3
P0141,Puma Sportswear Product 141,"This product from Puma is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Sportswear,Puma,6557,XS,Grey,4.8
P0142,JBL Electronics Product 142,"This product from JBL is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Electronics,JBL,6880,Small,White,3.2
P0143,Samsung Electronics Product 143,"This product from Samsung is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Electronics,Samsung,8827,Large,Brown,4.4
P0144,American Tourister Accessories Product 144,This accessory by American Tourister is designed to be both functional and stylish. The red finish and small size make it easy to pair with different outfits.,Accessories,American Tourister,5526,Small,Red,4.1
P0145,Samsung Electronics Product 145,"This product from Samsung is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Electronics,Samsung,6957,Large,Brown,4.5
P0146,Nike Shoes Product 146,"This product from Nike is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Shoes,Nike,5389,10,Brown,3.6
P0147,Nike Sportswear Product 147,"This product from Nike is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Sportswear,Nike,5207,XL,White,3.9
P0148,RedTape Footwear Product 148,RedTape brings you footwear that combines rugged build quality with modern design. The white color and ergonomic fit make it a dependable choice for everyday use.,Footwear,StrideX,7128,8,White,3
P0149,American Tourister Accessories Product 149,This accessory by American Tourister is designed to be both functional and stylish. The red finish and large size make it easy to pair with different outfits.,Accessories,American Tourister,2745,Large,Red,4.5
P0150,Lenskart Glasses Product 150,"This product from Lenskart is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Glasses,Lenskart,2401,Small,Grey,3.6
P0151,JBL Electronics Product 151,"This product from JBL is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Electronics,JBL,3452,Small,Green,3
P0152,Adidas Shoes Product 152,"This product from Adidas is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Shoes,Adidas,6406,9,White,3.8
P0153,Sony Electronics Product 153,"This product from Sony is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Electronics,Sony,2462,Small,Green,4.5
P0154,Fastrack Glasses Product 154,"This product from Fastrack is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Glasses,Fastrack,7502,Large,Grey,4.2
P0155,Lenskart Glasses Product 155,"This product from Lenskart is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Glasses,Lenskart,3243,Medium,Black,4.5
P0156,Nike Sportswear Product 156,"This product from Nike is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Sportswear,Nike,2126,XL,Blue,4.3
P0157,Puma Sportswear Product 157,"This product from Puma is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Sportswear,Puma,5827,XL,Blue,4.9
P0158,RedTape Footwear Product 158,"Designed by RedTape, this footwear offers a perfect balance of comfort and durability. The yellow finish gives it a stylish look, while the fit in size 7 makes it suitable for all-day wear.",Footwear,StrideX,3644,7,Yellow,4.3
P0159,JBL Electronics Product 159,"This product from JBL is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Electronics,JBL,3828,Medium,Grey,3.5
P0160,Puma Shoes Product 160,"This product from Puma is designed for reliable everyday use. It offers good build quality, practical design, and a comfortable user experience.",Shoes,Puma,8913,10,White,3.6
